effective_year,effective_month,property_id,lease_code,lease_unit,lease_terms_start,lease_terms_expiry,lease_terms_term,lease_terms_option,lease_terms_nla,rent_review_date,rent_review_description,rent_review_type
2023,12,130PARRY,PARRYSTEEL,GROUND,01/08/2021,31/07/2026,5Y,5 yrs,1,01/08/2024,3.5%INC,Commercial Rent
2023,12,130PARRY,Vacant,LEVEL2,,,,,,,,
2023,12,130PARRY,CUTCHERNEA,LEVEL3,26/07/2021,25/07/2031,10Y,2 x 5yrs,1,26/07/2024,3.5%INC,Commercial Rent
2023,12,132PACIFIC,Vacant,SUITE2,,,,,,,,
2023,12,132WOLLOMB,BOULTONALE,WHOLE,02/03/2018,01/03/2021,3Y,3 yrs,48,,,
2023,12,134WOLLOMB,HOLEEJULIE,SHOP1,01/06/2010,31/05/2015,5Y,Nil,55,,,
2023,12,134WOLLOMB,EVERETTMAC,SHOP2,27/07/2018,26/07/2021,3Y,3 yrs,55,27/07/2024,See Lease,Commercial Rent
2023,12,134WOLLOMB,RYANVETERI,SHOP3,28/11/2023,27/11/2028,5Y,2 x 5 yrs,55,28/11/2024,> CPI or %,Commercial Rent
2023,12,145BBEAUMO,Vacant,WHOLE,,,,,,,,
2023,12,165PENSHUR,Vacant,UNIT1,,,,,,,,
2023,12,165PENSHUR,AUSWIDECON,UNITS2/3,09/10/2023,08/11/2023,1M,,1063,,,
2023,12,1AYANGAN,AUSPOSTCOR,WHOLE,30/09/2023,29/09/2030,7Y,2 x 5Yrs,2146,30/09/2024,> CPI or %,Commercial Rent
2023,12,22JOHNS-U6,LITTLEBNUR,UNIT6,07/06/2022,06/06/2024,2Y,2yrs,1,07/06/2023,> CPI or %,Commercial Rent
2023,12,26DOAKDALE,C3CHURCHVI,WHOLE,01/12/2023,30/11/2026,3Y,5 yrs,2290,01/12/2024,> CPI or %,Commercial Rent
2023,12,27JURA,Vacant,WHOLE,,,,,,,,
2023,12,310HILLSBO,HAPPYH,WHOLE,01/12/2023,30/11/2028,5Y,5 years,980,01/12/2024,3.5%INC,Commercial Rent
2023,12,426KIN,PEGASUSCB,CB,01/04/2020,31/03/2025,5Y,60 months,712,01/04/2025,Market Review,Office Rent
2023,12,426KIN,Vacant,CP301,,,,,,,,
2023,12,426KIN,TOSHIBAC21,CPG03,01/08/2022,30/06/2025,2Y 11M,N/A,0.01,01/08/2024,3% INC,Car Park Rent
2023,12,426KIN,ORDMINN,G01,01/05/2023,30/04/2028,5Y,24 months,220,01/05/2025,3.5%INC,Office Rent
2023,12,426KIN,PEGASUSG02,G02,10/01/2020,31/03/2025,5Y 2M 22D,60 months,263,10/01/2025,3% INC,Office Rent
2023,12,426KIN,TOSHIBAG03,G03,01/07/2022,30/06/2025,3Y,N/A,87,01/07/2024,3% INC,Office Rent
2023,12,426KIN,SWITCHDIN,0101,17/11/2023,16/11/2028,5Y,,240,17/11/2024,> CPI or %,Commercial Rent
2023,12,426KIN,Vacant,0102,,,,,,,,
2023,12,426KIN,SWIDIN,101,01/12/2022,30/11/2027,5Y,N/A,0.01,,,
2023,12,426KIN,APPCORP,201,01/05/2020,31/07/2025,5Y 3M,60 months,441,01/05/2025,3% INC,Office Rent
2023,12,426KIN,APPCORP,201,01/05/2020,31/07/2025,5Y 3M,60 months,441,,,
2023,12,426KIN,WALKERLAW,202,23/10/2023,22/10/2026,3Y,,121,23/10/2024,> CPI or %,Commercial Rent
2023,12,426KIN,PSCCOAST,203,01/06/2021,31/05/2024,3Y,N/A,120,,,
2023,12,426KIN,JUDOBANK,301,01/02/2023,31/01/2028,5Y,N/A,251,01/02/2025,> CPI or %,Car Park Rent
2023,12,426KIN,BGE,302,19/12/2019,18/12/2024,5Y,24 months,329,19/12/2024,Market Review,Office Rent
2023,12,426KIN,YOKOGAWA,303,01/06/2021,31/05/2026,5Y,60 months,148,01/06/2024,3% INC,Office Rent
2023,12,426KIN,Vacant,S01,,,,,,,,
2023,12,46RIVER-U7,Vacant,UNIT7,,,,,,,,
2023,12,482ESPLANA,MUSE,CT1,01/12/2021,30/11/2026,5Y,5Yrs,98,01/12/2024,3% INC,Commercial Rent
2023,12,482ESPLANA,SIENACRUZ,CT2,01/11/2021,31/12/2025,4Y 2M,4Yrs,150,01/11/2024,3.5%INC,Commercial Rent
2023,12,53ELWEL-U5,LEVARN,UNIT5,01/09/2023,31/08/2026,3Y,3 yrs,1,01/09/2024,> CPI or %,Commercial Rent
2023,12,543HUNTER,IMPRINT,GROUND,01/05/2023,30/04/2028,5Y,1 x 5 YRS,145,01/05/2025,2% INC,Commercial Rent
2023,12,543HUNTER,GUILIACHRI,LEVEL1,10/07/2023,07/07/2024,11M 28D,,101,,,
2023,12,591HUN,Vacant,S01,,,,,,,,
2023,12,593HUN,Vacant,593HUN,,,,,,,,
2023,12,5AMURRAYD,FRASERMOTO,1,15/09/2021,14/09/2036,15Y,,2045,15/09/2024,4% INC,Industrial Rent
2023,12,5AMURRAYD,FRASERMOT,2,15/09/2021,14/09/2036,15Y,,2045,15/09/2024,4% INC,Commercial Rent
2023,12,5AMURRAYD,FRASER,3,15/09/2021,14/09/2036,15Y,,2045,15/09/2024,4% INC,Industrial Rent
2023,12,5MUST,TOMRA,K01,05/02/2018,30/01/2027,8Y 11M 26D,,1,01/12/2024,3% INC,Special Area Rent Site G0185
2023,12,5MUST,SOUTCROS,K02,01/11/2023,31/10/2026,3Y,24 months,1,01/11/2024,1.5% INC,Special Area Rent
2023,12,5MUST,COINOP,K03,01/11/2023,31/10/2028,5Y,0,1,,,
2023,12,5MUST,INNORET,K04,01/11/2022,01/11/2023,1Y 1D,,0,,,
